Stock,Industry Group,Market Cap,Return  1yr,Return 3yr,Return 5yr,ROE,ROCE,Debt to equity,REV growth,PE
Sh. Krishna Pap.,"Paper, Forest & Jute Products",155.36,144.52,77.49,51.7,3.37,8.72,0.89,45.87,51.44
Sh. Rajas. Synt.,Textiles & Apparels,53.77,14.48,38.39,28.97,-119.51,-30.2,,33.03,
Sh. Rajiv. Oil,Agricultural Food & other Products,13.34,-3.44,,,-2.54,-2.44,0.08,,95.29
Sh. Rama Multi.,Industrial Products,721.93,47.1,82.7,50.18,40.38,15.34,0.13,21.04,12.74
Sh. Steel Wire,Industrial Products,6.42,-43.77,-13.33,-1.99,-1.87,-2.47,0,-47.59,
Sh.Pushkar Chem.,Chemicals & Petrochemicals,1027.21,10.87,23.39,17.93,11.45,11.64,0.27,25.75,13.92
Sh.Renuka Sugar,Agricultural Food & other Products,5174.36,-11.63,-18.53,19.09,,10.64,,-18.98,
Shadowfax Technologies,Transport Services,7003.51,,,,2.25,4.38,0.98,31.85,201.08
Shah Alloys,Industrial Products,130.38,36.56,9.11,54.83,-1108.43,-25.75,,-81.51,
Shah Foods,Food Products,9.26,5.97,72.63,33.87,,20.18,,54.36,154.33
Shah Metacorp,Industrial Products,434.64,47.45,22.06,19.32,8.72,7.63,0.21,3.43,56.45
Shahi Shipping,Transport Services,21.14,-16.53,47.25,20.34,-87.39,-30.97,4.4,-31.9,
Shahlon Silk,Textiles & Apparels,206.02,65.26,19.94,4.4,3.2,9.57,1.19,-33.59,54.65
Shaily Engineer.,Industrial Products,8961.7,28.41,108.79,59.76,15.28,16.97,0.34,29.07,63.04
Shakti Press,Printing & Publication,9.35,-3.7,,,0.45,3.9,0.7,34.72,13.55
Shakti Pumps,Industrial Products,6359.93,-36.21,94.24,41.68,42.64,55.31,0.38,1.83,19.3
Shalby,Healthcare Services,1672.32,-18.34,6.93,7.78,0.62,6.12,0.53,4.93,207.48
Shalibhadra Fin.,Finance,257.58,-38.87,32.74,35.88,12.75,15.03,0.25,8.12,13.72
Shalimar Paints,Consumer Durables,463.84,-48.61,-27.93,-9.88,-22.64,-12.8,0.67,5.61,
Shalimar Prod.,Entertainment,48.23,0,0,-4.6,-0.69,-0.67,0.01,-80.95,
Shalimar Wires,Textiles & Apparels,78.46,-10.44,20.91,27.72,5.51,12.1,2.31,8.01,19.52
Shamrock Indl.,Commercial Services & Supplies,11.06,36.07,60.79,,-7.78,-7.78,0,,
Shangar Decor,Commercial Services & Supplies,12.73,-72.92,-14.09,-36.95,2.5,4.06,0.01,-21.14,
Shankar Lal Ram.,Chemicals & Petrochemicals,274.42,-31.82,-30.52,46.58,10.94,14.08,0.15,16.17,24.48
Shankara Building,Retailing,262.38,-20.07,-14.29,-0.46,9.29,16.76,0.14,-40.06,10.42
Shankara Buildpro,Retailing,2349.88,,,,,,0.19,,27.08
Shanmuga Hos.,Healthcare Services,56.45,-0.79,,,14.81,17.2,0.18,2.88,14.78
Shantai Indust.,Industrial Manufacturing,29.26,290.49,91.56,43.1,4.13,3.68,0.05,8.18,
Shanthala FMCG,Cigarettes & Tobacco Products,21.74,23.15,,,4.36,5.98,0.02,8.79,17.12
Shanthi Gears,Industrial Manufacturing,3452.98,6.12,8.84,27.41,25.65,34.87,0,-11.28,41.11
Shanti Educat.,Other Consumer Services,3201.49,130.95,52.64,69.53,10.48,14.11,0.09,19.05,721.06
Shanti Gold,Consumer Durables,1499.45,,,,44.85,26.19,0.34,55.52,11.74
Shanti Guru Inds,Retailing,9.92,-8.62,5.47,,-1.16,-1.15,0,,
Shanti Overseas,Agricultural Food & other Products,7.71,-37.31,-24.3,-21.65,-21.91,-25.29,0.38,-63.42,3.95
Shanti Spintex,Textiles & Apparels,110.03,0.25,,,11.06,13.88,0.02,3.09,15.09
Shantidoot Infra,Realty,54.22,-1.13,56.55,,65.11,86.13,0.01,201.9,10.72
Sharanam Infra,Commercial Services & Supplies,16.04,-70.97,-29.79,,13.8,13.46,0.02,2025,3.16
Sharat Industrie,Food Products,600.96,91.28,61.56,52.19,9.02,11.88,0.79,42.72,36.69
Sharda Cropchem,Fertilizers & Agrochemicals,10748.87,140.42,35.68,29.31,12.62,16.5,0,32.28,19
Sharda Ispat,Industrial Products,86.61,-40.19,40.1,24.24,13.7,14.04,0.57,-23.91,30.39
Sharda Motor,Auto Components,5350.4,18.62,46.18,33.76,26.54,34.6,0.04,13.79,16.55
Shardul Sec.,Capital Markets,262.39,-30.93,16.64,22.21,4.8,6.61,0.25,-121.42,
Share India Sec.,Capital Markets,2879.31,-30.03,-15.05,23.38,14.27,19.01,0.17,-20.79,12.05
Share Samadhan,Finance,58.61,-33.65,,,13.65,21.95,0.01,28.88,22.29
Sharika Enterpr.,Commercial Services & Supplies,49.8,-39.51,25.06,3.19,0.24,4.53,0.93,-23.34,
Sharma E I Hosp.,Healthcare Services,32.42,42.44,,,9.36,12.77,0.4,34.06,27.24
Sharp Chucks and,Industrial Products,157.45,37.63,,,10.95,13.06,1.32,0.58,17.44
Sharp India,Consumer Durables,119.17,-27.04,-4.44,5.38,,-1695.92,,,
Sharp Investment,Finance,9.44,-44.29,-31.44,1.06,0,0,0,-25,
Sharpline Broadc,Media,33.1,32.11,18.65,,5.33,7.2,1.31,70.75,3.8
Sharvaya Metals,Industrial Products,140.42,,,,82.28,65.49,0.22,57.61,8.02
Shashank Traders,Commercial Services & Supplies,9.56,15.74,,13.71,-5.74,-2.54,1.33,-100,
Shashijit Infra.,Construction,24.2,-43.56,-22.99,-9.55,-24.94,-12.28,0.57,-7.51,
Shashwat Furnis.,Consumer Durables,21.04,130.57,49.34,,13.44,,0.38,,84.16
Shayona Eng.,Industrial Products,54.47,,,,35.54,29.66,1.4,51.51,22.05
Sheel Bio.,Commercial Services & Supplies,121.71,,,,13.27,14.48,0.32,7.11,8.48
Sheela Foam,Consumer Durables,5951.92,-23.18,-21.74,-11.42,2.02,3.52,0.41,5.41,62.94
Sheetal Cool,Food Products,327.81,5.81,-15.83,15.17,14.88,15.66,0.63,4.4,20.91
Sheetal Univer.,Agricultural Food & other Products,277.18,219.83,,,23.79,26.15,0.56,-26.18,29.12
Shekhawati Inds,Textiles & Apparels,44.81,-44.16,37.51,23.64,60.41,57.34,0.01,-74.11,11.17
Shelter Infra,Construction,5.3,23.67,14.37,12.6,6.09,1.91,2.65,-5.04,132.5
Shelter Pharma,Pharmaceuticals & Biotechnology,59.29,-17.59,,,18.44,24.48,0.02,33.77,7.23
Shemaroo Entert.,Entertainment,276.4,-6.58,-5.66,8.29,-16.58,-9.31,0.78,-4.68,
Shentracon Chem.,Chemicals & Petrochemicals,26.48,,,,,-8.49,,,331
Shera Energy,Industrial Products,290.83,-18.18,22.3,,13.69,17.22,1.24,33.31,11.58
Shervani Indl Sy,Realty,102.89,9.28,5.23,10.42,2.96,1.51,0.38,-62.71,48.76
Sheshadri Indus.,Textiles & Apparels,7.24,6.1,-4.25,20.53,,55.37,,-10.87,1.51
Shetron,Industrial Products,98.1,-17.7,21.57,42.2,5.35,11.47,0.69,6.01,29.82
Shigan Quantum,Auto Components,124.4,-16.16,-9.29,,10.36,13.63,0.61,11.44,18.27
Shikhar Cons.,Finance,9.52,,,,-4.8,-3.27,0.56,,
Shilchar Tech.,Electrical Equipment,4616.12,9.68,107.7,125,52.93,71.3,0,47.4,24.93
Shilp Gravures,Industrial Products,110.48,-18.17,25.51,15.04,1.7,2.28,0.08,7.11,13.11
Shilpa Medicare,Pharmaceuticals & Biotechnology,6584.26,10.36,37.2,12.93,4.21,7.82,0.24,14.8,37.22
Shine Fashions,Textiles & Apparels,62.01,-44,62.69,47.83,41.91,47.55,0.27,33.99,7.01
Shining Tools,Industrial Manufacturing,33.1,,,,28.82,28.36,1.02,39.89,18.39
Shipping Land,Finance,2133.83,1.3,,,-6.09,2.09,0,28.71,
Shipwaves Online,Transport Services,61.13,,,,56.08,35.35,1.3,11.96,5.36
Shish Industries,Industrial Products,551.92,66.09,23.78,77.08,10.36,9.88,0.45,26.59,67.89
Shiv Aum Steels,Commercial Services & Supplies,376.73,10.8,13.39,39.73,8.79,10.85,0.63,1.01,63.85
Shiv Texchem,Chemicals & Petrochemicals,267.64,-55.72,,,18.3,14.46,1.15,36.92,3.8
Shiva Cement,Cement & Cement Products,542.21,-41.15,-26.7,-1.37,,-2.97,39.62,20.26,
Shiva Global,Fertilizers & Agrochemicals,35.26,-11.13,-25.26,1.31,-3.34,0.87,0.37,-20.39,167.9
Shiva Granito,Other Construction Materials,19.23,-17.38,15.31,42.23,0.1,2.25,0.22,41.07,1923
Shiva Mills,Textiles & Apparels,48.57,-21.43,-11.58,5.55,-4.24,-3.08,0.07,-18.39,
Shiva Suitings,Commercial Services & Supplies,3.28,-0.24,,,2.43,3.41,0,-36.94,
Shiva Texyarn,Textiles & Apparels,206.13,-17.42,11.22,2.8,9.52,9.31,0.73,15.88,13.21
Shivagrico Impl.,Industrial Manufacturing,12.39,-15.53,9.39,34.99,3.01,5.81,1.99,11.84,25.81
Shivalic Power,Electrical Equipment,181.23,-49.05,,,16.12,19.39,0.04,6.73,16.3
Shivalik Bimetal,Industrial Products,2584.99,10.5,2.53,51.64,20.6,25.57,0.11,7.35,28.24
Shivalik Rasayan,Fertilizers & Agrochemicals,454.16,-60.11,-24.06,-17.97,3.2,5.51,0.17,6.69,39.56
Shivam Autotech,Auto Components,257.6,-36.46,-7.37,0.43,-110.51,3.35,192.05,-13.17,
Shivam Chemicals,Food Products,172.42,111.24,,,8.28,11.38,0.63,47.91,49.55
Shivamshree Busi,Food Products,13.16,4.82,,,-18.63,-22.02,0.23,100.98,
Shivansh Finserv,Finance,4.9,54.53,34.17,57.5,-2.74,2.51,0.86,364.29,11.14
Shivashrit Foods,Food Products,242.25,,,,42.67,27.31,0.69,37.35,18.16
Shlokka Dyes,Chemicals & Petrochemicals,48.68,,,,44.57,29.14,0.99,68.42,7.32
Shoora Designs,Consumer Durables,24.4,-12.76,,,0.51,0.25,0.05,40.19,81.33
Shoppers Stop,Retailing,3345.92,-41.92,-22.1,7.4,3.39,7.96,11.56,6.24,
Shraddha Prime,Realty,698.74,65.19,185.91,149.19,36.9,16.3,2.28,168.01,18.34
Shradha AI Tech,IT - Software,171.03,-40.09,,,13.3,17.45,0.01,5.87,17.38
Shradha Realty,Realty,306.01,-28.01,31.43,31.14,12.73,9.54,1.15,23.03,14.61
Shree Bhavya,Textiles & Apparels,23.59,-1.15,18.96,37.19,6.73,10.6,1.68,-10.5,9.4
Shree Cement,Cement & Cement Products,94080.55,-4.43,-0.32,-1.21,5.29,6.71,0.1,6.38,52.49
Shree Ganesh Bio,Pharmaceuticals & Biotechnology,25.11,-34.37,-18.88,-36.39,0.44,0.62,0.02,-75.31,
Shree Ganesh Rem,Pharmaceuticals & Biotechnology,657.54,-27.16,25.97,21.1,17.01,19.21,0.24,-17.25,36.31
Shree Hanuman Sg,Agricultural Food & other Products,8.12,-23.25,-3.79,,-0.27,-0.2,0.37,,
Shree Karni,Textiles & Apparels,303.68,-29.08,,,18.77,14.23,0.79,29.17,18.51
Shree Marutinand,Industrial Products,20.85,-51.21,,,13.88,17.46,0.21,33.54,6.56
Shree Metalloys,Finance,22.77,10.06,17.76,13.89,13.58,17.27,0.46,-0.38,16.38
Shree OSFM,Transport Services,119.84,-22.59,,,15.95,19.67,0.16,11.67,11.48
Shree Pacetronix,Healthcare Equipment & Supplies,45.93,71.61,4.86,69.06,5.59,9.12,0.32,7.15,18.52
Shree Precoated,Industrial Products,5.56,-6.81,-10.79,17.35,,,,0,
Shree Ram Prote.,Agricultural Food & other Products,11.78,-43.88,-63.28,-39.61,-7.11,1.31,1.97,-100,
Shree Ram Twist.,,415.74,,,,11.32,11.95,0.75,10.13,52.16
Shree Rama News.,"Paper, Forest & Jute Products",524.29,14.39,42.24,19.56,-73.31,1.87,,-21.03,
Shree Refrigerat,Industrial Manufacturing,636.18,,,,15.03,17.83,0.13,23.01,103.28
Shree Salasar,Finance,197.83,,,,5.58,2.81,1.27,237.7,14.36
Shree Securities,Finance,15.96,-31.03,-48.45,,7.3,5.98,0,-4.23,24.18
Shree Tirupati,Industrial Products,531.22,-45.15,55.04,66.08,16.94,15.53,1.03,3.91,58.06
Shree TirupatiBa,Industrial Products,223.75,-47.43,,,10.88,13.21,0.72,-7.51,17.2
Shree Vasu Logis,Transport Services,641.23,42.34,62.51,53.56,6.58,16.63,2.37,48.44,182.69
Shreeji Global,Agricultural Food & other Products,261.63,,,,51.74,37.4,0.79,10.32,15.63
Shreeji Ship. Gl,Transport Services,6494.74,,,,37.95,33.65,0.3,-16.88,40.19
Shreeji Translog,Transport Services,55.63,-35.23,-46.26,0.8,0.99,4.63,0.79,-2.97,20.99
Shreenath Paper,Commercial Services & Supplies,25.65,,,,9.1,11.74,0.5,-44.8,9.57
Shreeoswal Seeds,Agricultural Food & other Products,119.55,1.08,-41.3,19.69,8.41,9.88,0.97,-17.27,21.12
Shreeshay Engi.,Construction,33.81,24.93,-13.85,,0.59,0.92,0,-89.31,281.75
Shreevatsaa Fin.,Commercial Services & Supplies,26.77,-26.08,39.79,41.03,2,2.44,0,3.3,52.49
Shrem InvIT,Construction,6056.52,-13.03,-1.89,,17.29,11.25,1.27,14.27,7.03
Shrenik,"Paper, Forest & Jute Products",26.93,-33.33,-27.4,-30.69,,,,53.79,20.72
Shreyans Inds.,"Paper, Forest & Jute Products",211.57,-15.54,0.39,12.86,12.63,16.33,0.13,4.79,5.97
Shreyas Interm.,Chemicals & Petrochemicals,51.01,-14.49,2.28,1.36,-12.06,-6.34,0.49,,
Shri Ahimsa,Food Products,567.03,,,,18.55,24.38,0,22.86,20.94
Shri Balaji,Industrial Manufacturing,65.2,-32.09,,,15.82,15.16,0.48,3.81,8.5
Shri Gang Indus,Beverages,173.13,-30.63,9.29,,,42.66,6.77,7.18,11.35
Shri Hare-Krish.,Ferrous Metals,82.52,,,,13.34,16.05,0.19,-2.19,9.11
Shri Kanha Stain,Industrial Products,39.74,,,,62.49,88.66,0.49,11.83,6.86
Shri Keshav,Cement & Cement Products,266.37,0.36,7.66,35.42,-6.21,5.25,2.41,28.09,
Shri Krishna,Realty,108.67,17.25,23.71,19.39,5.85,7.14,0.43,10.11,18.42
SHRI NIWAS L& F.,Finance,44.84,-0.09,4.53,17.42,,-55664.59,,251.06,0.04
Shri Techtex,Industrial Products,152.2,-3.17,,,15.61,21.64,0.11,6.75,11.64
Shri Vasuprada,Agricultural Food & other Products,86.99,-10.26,11.97,6.86,-4.16,0.92,0.58,33.06,
Shri Venkatesh,Agricultural Food & other Products,555.08,18.09,37.05,,20.7,14.57,2.11,59.19,21.97
Shricon Indus.,Realty,23.63,3.03,81.74,,-1.65,-1.64,0,592.16,13.2
Shringar House,Consumer Durables,2258.15,,,,36.18,31.55,0.3,29.8,23.35
Shriram AMC,Capital Markets,498.2,-21.39,17.49,35.01,-23.49,-23.16,0,47.88,
Shriram Finance,Finance,203092.15,74.86,64.08,32.26,15.57,10.95,3.87,18.05,22.2
Shriram Pistons,Auto Components,13729.89,68.69,76.22,51.54,23.2,25.7,0.2,16.81,24.46
Shriram Properti,Realty,1354.14,15.89,6.96,,5.81,9.73,0.51,44.06,19.33
Shristi Infra,Realty,66.87,-21.17,9.71,-14.49,,1.16,,562.87,
Shrydus Indust.,Finance,9.57,-58.41,-52.78,15.57,29.25,24.54,0,-99.52,
Shubham Polyspin,Textiles & Apparels,74.78,206,41.49,8.02,4.4,6.78,0.51,1.7,92.32
Shubhlaxmi Jewel,Consumer Durables,31.23,10.92,-12.86,15.87,4.07,7.98,0.49,-18.49,11.97
Shubhshree Bio.,Industrial Products,163.55,-8.14,,,26.73,,0.28,,20.22
Shukra Bullions,Commercial Services & Supplies,14.91,0.13,59.82,6.2,1.87,2.81,0.01,71.7,
Shukra Jewellery,Consumer Durables,10.04,-46.3,29.59,-10.03,0.76,0.51,0,-25.79,18.25
Shukra Pharma.,Pharmaceuticals & Biotechnology,1805.81,75.49,214.16,184.83,15.9,21.8,0.06,110.83,61.93
Shyam Century,Ferrous Metals,108.63,-35.68,-34.11,-1.24,-5.73,-5.67,0.01,-66.28,
Shyam Dhani Ind.,Food Products,157.3,,,,41.22,24.36,1.73,15.86,19.49
Shyam Metalics,Industrial Products,24013.71,20.94,45.86,,8.99,12.05,0.1,19.43,24.76
Shyam Telecom,Commercial Services & Supplies,11.06,-20.89,3.49,-1.07,,,,,
Shyama Computro.,Pharmaceuticals & Biotechnology,3.82,-5,,,0.8,1,0,16.67,20.11
Shyamkamal Inv,Finance,17.25,-2.07,41.4,-8.57,8.98,6.88,1.6,275,9.75
Sibar Auto Parts,Auto Components,12.53,-25.54,1.26,-1,-2.35,0.69,0.05,23.98,
Sicagen India,Commercial Services & Supplies,208.77,-14.21,17.71,28.69,3.41,5.57,0.32,10,11.73
Sical Logistics,Transport Services,1351.75,-15.57,116.05,35.66,-395.57,-1.29,238.91,95.55,
Siddha Ventures,Finance,3.83,-48.38,-7.05,23.93,-90.31,-90.31,0,-68.15,
Siddhes. Garment,Commercial Services & Supplies,7.43,21.96,,,0,0,0,,743
Siddhi Cotspin,Textiles & Apparels,70.78,,,,17.94,15.57,0.37,24.73,5.72
Siddhika Coatins,Consumer Durables,131.3,29.89,36.94,,23.51,31.1,0,16.06,15.37
Siemens,Electrical Equipment,121743.36,28.94,22.32,25.59,11.81,15.83,0.01,10.2,74.44
Siemens Ener.Ind,Electrical Equipment,104375.36,,,,29.1,38.99,0.03,64.44,85.57
Sigachi Indust.,Pharmaceuticals & Biotechnology,771.49,-47.01,-7.39,,13.5,15.54,0.29,4.3,19.21
Sigma Advanced System,Telecom - Services,2817.37,181.05,79.37,76.97,-18.47,8.74,0.01,762.82,19.67
Sigma Solve,IT - Services,430.94,61.89,28.24,87.69,47.61,58.79,0.05,37.28,17.01
SignatureGlobal,Realty,13907.75,-5.3,,,14.72,5.42,3.56,-24.81,4189.08
Signet Industrie,Commercial Services & Supplies,137.77,-3.07,8.59,5.04,6.88,13.72,1.74,14.04,6.56
Signoria Creatio,Textiles & Apparels,37.99,-1.42,,,16.97,16.78,0.61,64.09,10.7
Signpost India,Media,1346.46,10.9,,,16.66,15.41,0.83,17.73,26.97
Sihora Indust.,Textiles & Apparels,33.3,,,,43.24,36.04,1,134.46,19.82
Sika Interplant,Aerospace & Defense,2084.36,112.49,104.99,68.82,22.04,29.04,0.03,55.56,56.81
Sikko Industries,Fertilizers & Agrochemicals,200.93,29.21,5.75,66.45,7.76,10.72,0.14,27.46,32.3
Sikozy Realtors,Realty,6.6,64.44,5.79,7.11,-117.24,-41.67,,,
SIL Investments,Finance,462.16,-6.21,14.51,16.49,1.16,1.53,0,15.29,10.45
Silgo Retail,Consumer Durables,179.49,78.58,65.96,17.16,7.96,10.48,0,32.15,32.17
Silicon Rental,Commercial Services & Supplies,82.22,-63.98,-19.5,,15.26,20.62,0.04,15.72,7.82
Silicon Valley,IT - Software,0.39,0,0,,,,,,3.25
Silkflex Polymer,Chemicals & Petrochemicals,162.15,157.99,,,29.23,24.08,1.41,16.35,17.21
Silky Overseas,Textiles & Apparels,90.42,,,,51.01,36.55,0.4,77.67,8.98
Silly Monks,Entertainment,18.05,-0.62,-2.19,-5.51,2.67,2.65,0.02,-2.67,
Silver Oak (I),Beverages,32.97,-46.95,26.43,33.92,-17.03,-1.26,1.6,-100,
Silver Pearl,Leisure Services,5.5,-13.04,-4.35,,-1.26,-1.11,0,-36.13,
Silver Touch,IT - Software,1791.19,119.32,59.62,71.94,17.6,22,0.33,16.12,56.47
Silverline Tech,IT - Software,319.34,53.75,,,-0.59,-0.39,0.23,11942.49,13.91
Silveroak Comm,Finance,1.33,-6.94,21.54,11.13,-3559.09,-77.32,,-67.85,
Simandhar Impex,Consumer Durables,36.88,,,,,,,,
Simbhaoli Sugar,Agricultural Food & other Products,35.05,-35.88,-25.46,4.54,,3.23,,-6.5,3.28
Simm. Marshall,Auto Components,168.06,35.73,49.82,33.99,21.61,14.09,1.51,11.89,12.65
Simplex Castings,Industrial Products,376.73,122.19,133.63,86.55,33.69,24.1,0.81,57.96,20.18
Simplex Infra,Construction,1600.49,-19.57,67.64,40.97,-4.4,-0.05,1.97,-11.62,29.91
Simplex Mills,Textiles & Apparels,16.36,39.36,26.64,34.69,,,,33.33,
Simplex Papers,"Paper, Forest & Jute Products",4.56,-43.35,-11.35,61.55,,-34.78,,,
Simplex Realty,Realty,35.19,-47.4,14.75,17.64,1.13,2.32,0,-11.16,
Simran Farms,Food Products,57.61,-16.78,8.2,15.88,16.37,12.26,1.47,17.65,
Sinclairs Hotels,Leisure Services,396.39,-1.15,14.53,25.36,12.36,15.33,0.3,5.49,28.95
Sindhu Trade,Transport Services,3877.95,68.91,10.98,60.25,0.35,5.45,0.27,-62.44,
Singer India,Consumer Durables,469.26,28.53,4.71,14.82,4.89,6.89,0.01,21.06,40.56
Sinnar Bidi Udy.,Cigarettes & Tobacco Products,30.32,17.86,,28.63,-4.27,-4.72,0,-4.81,159.58
Sintercom India,Auto Components,241.25,-30.16,-3.98,-0.45,0.66,5.08,0.47,8.83,253.95
Sir Shadi Lal,Agricultural Food & other Products,143.06,17.84,27.98,44.67,,-153.83,,-0.64,
Sirca Paints,Consumer Durables,2596.85,69.45,14.51,22.52,14.94,19.98,0.1,29.19,42.23
Sirohia & Sons,Commercial Services & Supplies,4.94,-59.05,,,0.14,0.25,0,,21.48
SIS,Other Consumer Services,4312.25,0.11,-4.92,-6.44,0.45,5.47,0.67,15.67,12.54
Sita Enterprises,Commercial Services & Supplies,46.83,14.78,109.82,65.69,7.51,8.31,0,336.69,8.92
Siti Networks,Entertainment,30.52,-39.66,-31.73,-17.21,,,,-6.97,
Siyaram Recycli.,Industrial Products,105.35,-58.32,,,14.34,16.62,0.82,7.7,10.57
Siyaram Silk,Textiles & Apparels,2411.65,-11.32,4.79,19.34,16.36,20.42,0.3,15.12,11.71
Sizemasters Tech,Non - Ferrous Metals,264,118.18,112.66,,18.9,13.24,0.2,112.63,67.69
SJ Corp,Consumer Durables,59.71,33.66,23.17,44.44,-2.33,-2.67,0,146.06,124.4
SJS Enterprises,Auto Components,5626.87,106.32,61.26,,18.9,22.8,0.05,19.91,36.16
SJVN,Power,28699.29,-13.17,31.52,22.29,5.81,4.91,2.03,15.92,45.38
SK Minerals & Additives,Chemicals & Petrochemicals,156.3,,,,60.14,32.29,2.63,94.6,11.62
SKF India,Industrial Products,8589.85,0.95,-5.93,10.82,21.43,28.82,0,-18.37,23.89
SKF India Indus.,Industrial Products,12668.48,,,,,,,,104.43
SKIL Infrastr,Construction,24.04,-70.24,-26.97,-19.33,4.76,1.1,10.09,,2.7
Skipper,Electrical Equipment,4137.46,-6.56,55.88,42.98,14.18,24.42,0.63,15.23,22.52
SKM Egg Prod.,Food Products,874.58,94.29,30.43,46.01,11.8,13.07,0.51,28.77,11.3
SKP Bearing,Industrial Products,270.5,-24.87,-2.14,,5.86,11.96,0.68,36.14,50.85
SKP Securities,Finance,70.03,-24.21,11.1,30.19,21.59,27.55,0.35,2.56,7.29
Sky Gold & Diam.,Consumer Durables,5596.37,13.6,122.24,108.91,25.46,21.21,0.78,81.19,24.41
Sky Industries,Textiles & Apparels,61.84,-24.46,5.17,12.7,14.26,16.68,0.29,-3.21,11.08
Skybiotech Healthcare,Textiles & Apparels,23.29,-38.99,49.7,43.62,-26.36,,0.8,,
Skyline Millars,Realty,76.35,5.44,16.58,21.22,-1.87,-1.58,0,,
Skyline Ventures,Realty,9.52,-12.73,,,-9.97,-7.7,0.32,,
Slone Infosys.,IT - Hardware,94.82,-25.79,,,28.36,37.93,0.07,-18.13,13.01
SM Auto Stamping,Industrial Manufacturing,29.43,-29.85,-10.76,6.09,14.89,18.69,0.09,12.24,8.09
Smart Finsec,Finance,23.34,-31.75,4.13,6.87,7.75,10,0.03,-30.8,23.11
Smarten Power,Electrical Equipment,113.24,,,,39.71,41.01,0.07,4.62,8.94
Smartlink Hold.,IT - Hardware,123.61,-11.73,-4.21,6.61,3.42,3.35,0.02,4.6,12.21
Smartworks Cowor,Commercial Services & Supplies,4685.32,,,,-81.99,6.97,8.6,32.2,
SMC Global Sec.,Capital Markets,1609.24,34.26,26.43,9,12.65,14.6,1.59,-4.4,19.01
Smiths & Founder,Industrial Products,59.06,0,17.82,47.83,5.41,7.47,0.05,4.66,53.69
SML Mahindra,"Agricultural, Commercial & Construction Vehicles",6917.38,352.78,86.7,57.69,36.38,27.12,0.57,17.51,43.64
Smruthi Organic,Pharmaceuticals & Biotechnology,128.26,1.86,-3.19,-12.81,5.04,7.98,0.13,-13.01,25.86
SMS Pharma.,Pharmaceuticals & Biotechnology,3607.48,100.75,77.31,23.35,11,12.19,0.43,14.97,41.32
SMT Engineering,Commercial Services & Supplies,698.05,4233.85,,134.1,6.9,4.46,0.95,3001.15,53.08
SMVD Poly Pack,Industrial Products,9.28,-26,-8.81,16.94,,,0,-93.51,
Snehaa Organics,Chemicals & Petrochemicals,47.08,,,,66.07,58.77,0.11,10.54,6.41
SNL Bearings,Auto Components,132.14,11.38,11.74,11.15,16.19,21.03,0,13.04,11.92
Snowman Logistic,Transport Services,659.33,-14.48,4.99,-5.62,1.33,4.25,0.8,10.52,
Sobha,Realty,14918.2,16.2,36.87,26.67,2.68,6.44,0.23,24.78,104.73
Sobhagya Mercant,Commercial Services & Supplies,663.18,155.71,387.37,,24.43,33.71,0.14,59.79,27.69
Sodhani Academy,Other Consumer Services,111.05,-6.02,,,14.24,18.54,0,113.79,28.33
Sodhani Capital,Capital Markets,55.46,,,,34.47,47.3,0,10.13,25.32
Sofcom Systems,IT - Software,57.1,-63.85,-36.8,9.85,0.84,,0.01,,60.74
Softrak Venture,Finance,84.75,-44.71,21.05,,0.79,1.28,0,-90.19,
Softsol India,Realty,305.46,-17.07,14.16,19.69,7.33,9.74,0,-17.06,25.39
Softtech Enginee,IT - Software,398.86,-21.18,20.39,26.2,0.88,4.39,0.27,35.45,131.64
Solar Industries,Chemicals & Petrochemicals,122197.77,55.03,51.2,58.72,32.64,38.13,0.17,28.16,84.15
Solara Active,Pharmaceuticals & Biotechnology,2055.87,-2.2,11.35,-17.62,0.05,6.01,0.51,-4.23,
Solarium Green,Construction,326.3,-37.94,,,23.01,20.09,0.77,29.5,16.09
Solarworld Ene.,Construction,1690.64,,,,40.21,40.36,0.27,8.73,20.91
Solex Energy,Electrical Equipment,931.93,14.07,55.37,100.12,38.74,28.22,1.63,43.72,19.96
Solid Stone Co,Other Construction Materials,14.45,-10.26,-8.96,-10.61,3.63,7.68,0.87,-10.98,36.12
Solitaire Mach.,Industrial Manufacturing,45.03,-13.33,30.7,32.98,10.78,12.16,0.26,-19.83,32.87
Solve Plastic,Industrial Products,7.49,-54.57,,,-66.67,-24.67,1.04,1.22,
Solvex Edibles,Agricultural Food & other Products,23.28,,,,20.28,,1.45,88.43,5.92
Som Datt Finance,Finance,211.56,58.41,17.04,56.37,-16.62,-17.84,0,20.37,755.57
Som Distilleries,Beverages,1672.15,-27.4,19.61,42.23,16.17,17.98,0.24,-6.6,18.91
Soma Textiles,Textiles & Apparels,367,184.87,65.97,69.04,-1.1,-1.74,0,410.23,495.95
Somany Ceramics,Consumer Durables,1682.14,-7.53,-8.69,-1.21,8.17,11.51,0.42,4.32,26
Somi Conv.Belt.,Industrial Manufacturing,124.77,-22.69,43.63,27.73,7.44,10.35,0.19,-6.64,23.37
Sona BLW Precis.,Auto Components,33230.99,8.22,5.13,,14.37,17.82,0.04,13.78,50.95
Sona Machinery,Industrial Manufacturing,52.49,-55.68,,,5.54,7.7,0.01,1.96,25.24
